date_of_sale,address,postal_code,county,price,vat_exclusive,description_of_property,property_size_description,is_big,log_price,is_full_market_price,year,month,quarter
06/05/2014,"68 Atlantic Way, Bundoran",NA,Donegal,320,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,2.505149978319906,Yes,6,5,2
10/09/2018,"75 EUGENE ST, DUBLIN 8",Dublin 8,Dublin,1700,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.230448921378274,Yes,10,9,3
07/12/2017,"169 THE CRESENT, PARK WEST POINT, DUBLIN 12",Dublin 12,Dublin,2020,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.305351369446624,Yes,7,12,4
14/09/2016,"7 ROCHDALE, HONEY PARK, DUN LAOGHAIRE",NA,Dublin,2000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3010299956639813,Yes,14,9,3
29/11/2012,"95 Sliabh Breagh, Ardee",NA,Louth,750,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.8750612633917,Yes,29,11,4
13/09/2011,"Cross St., Loughrea",NA,Galway,500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6989700043360187,Yes,13,9,3
05/04/2012,"28 ROCKVIEW, MOUNTRATH ROAD, PORTLAOISE",NA,Laois,690,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.838849090737255,Yes,5,4,2
26/09/2016,"10 CARRIG AVE, CARRIG NA CURRA, CARRIGALINE",NA,Cork,2220,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.346352974450639,Yes,26,9,3
11/12/2015,"1 Silvergrove, Ballybeg, Ennis",NA,Clare,3127.76,Yes,New Dwelling house /Apartment,ge_125_square_meters,Not Big,3.495233421282158,Yes,11,12,4
20/02/2018,"BALYNA, BROADFORD, KILDARE",NA,Kildare,1100,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.041392685158225,No,20,2,1
27/09/2018,"12 Dodderbrook Terrace, Ballycullen, Dublin 24",Dublin 24,Dublin,2360.38,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.372981926113362,Yes,27,9,3
28/08/2014,"21 MANOR DR, MANOR VILLAGE, TRALEE",NA,Kerry,750,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.8750612633917,Yes,28,8,3
08/04/2011,"8 PRIORY WALK, MANOR GROVE, TERENURE",NA,Dublin,4300,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.6334684555795866,Yes,8,4,2
16/02/2015,"BALLYRUSHEEN, CASTLECOR, MALLOW",NA,Cork,2250,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3521825181113627,Yes,16,2,1
02/05/2012,"10 Stradbrook Hall, Blackrock",NA,Dublin,4497,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.652922887567942,Yes,2,5,2
22/06/2018,"APT 1A HEADFORT MEADOW, VIRGINIA, COUNTY CAVAN",NA,Cavan,800,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.9030899869919438,Yes,22,6,2
15/12/2014,"5 FRANKFIELD VILLAS, WINDMILL RD, CORK",NA,Cork,1750,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2430380486862944,Yes,15,12,4
01/05/2012,"17 Pebble Walk, Pebble Beach, Tramore",NA,Waterford,510,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.7075701760979363,Yes,1,5,2
16/12/2011,"73 Dun Na carraige, blackrock, salthill",NA,Galway,2451,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.389343311252078,Yes,16,12,4
09/10/2014,"17 CASTLE AVENUE, SWORDS, CO. DUBLIN",NA,Dublin,3760,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.575187844927661,Yes,9,10,4
19/08/2013,"152 Castlelawn heights, Headford Rd., Galway",NA,Galway,1530,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.184691430817599,Yes,19,8,3
12/02/2014,"4 SEASIDE COTTAGES, LINK RD, BALLYBUNNION",NA,Kerry,1370,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.1367205671564067,Yes,12,2,1
01/05/2015,"COLT, BALLYROAN, PORTLAOISE",NA,Laois,460,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6627578316815743,Yes,1,5,2
05/12/2017,"THE LONG HILL, LUGDUFF, TINAHELY",NA,Wicklow,2300,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.361727836017593,Yes,5,12,4
01/11/2013,"Talblick, Lehaunstown Lane, Brennanstown Road  Cabinteely",Dublin 18,Dublin,8000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.9030899869919438,Yes,1,11,4
29/04/2010,"25 Rafters Road, Drimnagh",Dublin 12,Dublin,1800,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.255272505103306,Yes,29,4,2
01/11/2013,"Apt 404, Glenlara House, Limerick",NA,Limerick,310.05,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.4914317356829696,Yes,1,11,4
17/10/2013,"4 EARLSVALE PLACE, CAVAN, CAVAN",NA,Cavan,1200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0791812460476247,No,17,10,4
24/09/2013,"Leny, Ballinalack",NA,Westmeath,450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6532125137753435,Yes,24,9,3
25/11/2015,"CASTLEBANK, ARDNACRUSHA, CLARE",NA,Clare,2775,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.443262987458695,Yes,25,11,4
23/04/2012,"27  Palace Fields, Tuam",NA,Galway,1330.3,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.123949591081827,Yes,23,4,2
11/12/2017,"BOGBERRE STREET, ENNISTYMON, COUNTY CLARE",NA,Clare,310,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.4913616938342726,Yes,11,12,4
25/04/2012,"Noghan, Belturbet",NA,Cavan,1000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3,Yes,25,4,2
28/07/2017,"NO.8 FAIRWAYS 1, THE HERITAGE, KILLENARD",NA,Laois,2500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3979400086720375,Yes,28,7,3
21/12/2010,"40 harbour court, georges place, dun laoghaire",NA,Dublin,1942.149,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.28828254554907,Yes,21,12,4
30/01/2016,"10 HIBERNIA, DE VESCI COURT, THE SLOPES",NA,Dublin,1200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0791812460476247,No,30,1,1
23/10/2014,"MALL HOUSE, CLOONS AND COMMON, CASTLECONNELL",NA,Limerick,2950,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.469822015978163,Yes,23,10,4
15/09/2010,"1 Redwood Lane, Broomfield, Midleton",NA,Cork,2600,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4149733479708178,Yes,15,9,3
02/05/2018,"LAKEVIEW, COLLINSTOWN, CO WESTMEATH",NA,Westmeath,1210,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0827853703164503,Yes,2,5,2
13/03/2014,"Cloncullen, Ballymahon",NA,Longford,850,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.929418925714293,Yes,13,3,1
19/04/2016,"BALLYFORMOYLE KEADUE BOYLE, ROSCOMMON",NA,Roscommon,1760,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.24551266781415,Yes,19,4,2
20/12/2013,"3 The Starlings, Shanganagh Road, Shankill",NA,Dublin,3390,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.530199698203082,Yes,20,12,4
22/06/2012,"Angler's Cottage, Cuingbeg, Foxford",NA,Mayo,1250,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0969100130080562,Yes,22,6,2
01/07/2014,"20 ROSEWOOD GREEN, BALLYLANGLEY, BANDON",NA,Cork,1660,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.220108088040055,Yes,1,7,3
12/03/2010,"16 rivervale, dargle road, bray",NA,Wicklow,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,12,3,1
30/06/2014,"4 ASHDOON BRAE, DRUMROOSKE, DONEGAL",NA,Donegal,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,30,6,2
05/12/2014,"1 WINDELE RD, DUBLIN",Dublin 9,Dublin,3150,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4983105537896004,Yes,5,12,4
23/12/2014,"MARLIN HOUSE, BALLYGRANGANS, KILMORE",NA,Wexford,1950,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.290034611362518,Yes,23,12,4
23/10/2017,"6 DOOLIN FARMHOUSE COTTAGES, DOOLIN, CO CLARE",NA,Clare,1100,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.041392685158225,Yes,23,10,4
23/03/2015,"19 RAIL PARK, MAYNOOTH, CO KILDARE",NA,Kildare,2400,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.380211241711606,Yes,23,3,1
03/07/2015,"30 HAZELBURY PARK, CLONEE, DUBLIN 15",Dublin 15,Dublin,2640,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4216039268698313,Yes,3,7,3
09/09/2011,"Turlough Road, Castlebar",NA,Mayo,820,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.9138138523837167,Yes,9,9,3
02/02/2018,"NIRE RD, GRAIGUENAGOWER, BALLYMACARBARY",NA,Waterford,2700,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4313637641589874,Yes,2,2,1
10/08/2016,"CASTLEKEVIN, ROUNDWOOD, BRAY",NA,Wicklow,3105,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.492061604512599,Yes,10,8,3
25/03/2015,"38 BROOKLAWN, STRANDVILLE AVE ESTATE, CLONTARF DUBLIN 3",Dublin 3,Dublin,2450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3891660843645326,Yes,25,3,1
14/03/2016,"3 NEWGATE LANE, OFF NICHOLAS STREET, LIMERICK",NA,Limerick,685,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.8356905714924254,Yes,14,3,1
06/07/2012,"Glenmore Lodge, Sheephouse, Drogheda",NA,Meath,850,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.929418925714293,Yes,6,7,3
29/01/2010,"10 Saval Park Road, Dalkey",NA,Dublin,9800,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.9912260756924947,Yes,29,1,1
23/11/2010,"Apartment 35, The Regan, Railway View  Belturbet",NA,Cavan,600,Yes,New Dwelling house /Apartment,ge_125_square_meters,Not Big,2.7781512503836434,Yes,23,11,4
24/08/2018,"Apartment 149  Charlotte Block, Honeypark, Dun Laoghaire",NA,Dublin,3612.3347999999996,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.5577879949787428,Yes,24,8,3
17/06/2011,"Craigtown, Fahan",NA,Donegal,2050,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.311753861055754,Yes,17,6,2
08/07/2016,"9 CHARVEY COURT, RATHNEW, WICKLOW",NA,Wicklow,2000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3010299956639813,Yes,8,7,3
16/11/2015,"FAIRFIELD COTTAGE, PIPER HILL, BATTERSTOWN",NA,Meath,2580,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.41161970596323,Yes,16,11,4
28/04/2017,"BROOKHILL, CLAREMORRIS, CO MAYO",NA,Mayo,1900,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.278753600952829,Yes,28,4,2
02/03/2017,"60 TOURNORE COURT, ABBEYSIDE, DUNGARVAN",NA,Waterford,1650,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2174839442139063,Yes,2,3,1
18/09/2017,"10 Burkeen Hall, Wicklow Town",NA,Wicklow,2559.4714000000004,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.4081502810276674,Yes,18,9,3
30/03/2016,"16 BEECHWOOD, BRACKNAGH",NA,Offaly,800,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.9030899869919438,Yes,30,3,1
09/06/2014,"Annaglave, Castleblayney, County Monaghan",NA,Monaghan,950,No,New Dwelling house /Apartment,ge_125_square_meters,Not Big,2.9777236052888476,Yes,9,6,2
24/11/2014,"19 ENNEL PARK, ARTANE DUBLIN 5, DUBLIN",Dublin 5,Dublin,1950,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.290034611362518,Yes,24,11,4
21/01/2015,"1 SEXTON ST, LIMERICK, LIMERICK",NA,Limerick,600,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.7781512503836434,Yes,21,1,1
07/06/2018,"38 Maydenhayes Road, Mornington, CO MEATH",NA,Meath,2994.14,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.476272103223457,Yes,7,6,2
08/03/2018,"14 SKELLIGS COURT, BLANCHARDSTOWN",Dublin 15,Dublin,1349.8153,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.130274346510893,Yes,8,3,1
10/12/2015,"110 THE ORCHARD, MILL PARK, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,1550,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.1903316981702914,Yes,10,12,4
11/04/2018,"IONA, ABBEYLEIX RD, PORTLAOISE",NA,Laois,1090,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.037426497940624,No,11,4,2
28/10/2016,"8 UPPER GEORGES ST, WEXFORD",NA,Wexford,1620,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2095150145426308,Yes,28,10,4
07/03/2017,"19 ARD NA GREINE, MITCHELSTOWN",NA,Cork,1650,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.2174839442139063,Yes,7,3,1
16/12/2010,"10 St Patrick's Hill, Cork",NA,Cork,1200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0791812460476247,Yes,16,12,4
05/07/2018,"ARDPRIOR, BUTTERVANT, COUNTY CORK",NA,Cork,425,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6283889300503116,Yes,5,7,3
26/05/2011,"35 Mourne Road, Drimnagh, dublin 12",NA,Dublin,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,26,5,2
28/03/2013,"Scots Pine, Kilcroney Lane, Bray",NA,Wicklow,6325,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.8010605298478555,Yes,28,3,1
23/11/2015,"4 GLEBE MANOR, BALROTHERY, DUBLIN",NA,Dublin,7050,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.848189116991399,Yes,23,11,4
01/07/2011,"6 Grotto Place, Booterstown",NA,Dublin,2150,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3324384599156054,Yes,1,7,3
13/04/2018,"17 OLD RECTORY PARK, DUNDRUM, DUBLIN 14",Dublin 14,Dublin,2800,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4471580313422194,No,13,4,2
02/10/2018,"20 SEAMOUNT APT, ST HELENS, STILLORGAN RD",NA,Dublin,9950,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.9978230807457256,Yes,2,10,4
10/04/2018,"high street, kilfinane",NA,Limerick,150,Yes,New Dwelling house /Apartment,lt_38_square_meters,Not Big,2.1760912590556813,Yes,10,4,2
16/03/2015,"EMLAGH, LOUISBOURG, CO MAYO",NA,Mayo,1735,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2392994791268928,Yes,16,3,1
19/06/2017,"4 WOODHILL, LOVERS WALK, CORK",NA,Cork,1800,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.255272505103306,Yes,19,6,2
18/06/2013,"19 Claremont Avenue, Honeypark, Dun Laoghaire",NA,Dublin,5022.0264,Yes,New Dwelling house /Apartment,ge_125_square_meters,Not Big,3.700878991400437,Yes,18,6,2
14/08/2017,"3 ROSEVILLE, ARDCAIRN, BALLINTEMPLE",NA,Cork,3876.6519,Yes,New Dwelling house /Apartment,ge_125_square_meters,Not Big,3.588456805728288,Yes,14,8,3
26/04/2018,"33 BLACKHALL GREEN, DUBLIN 7, DUBLIN",Dublin 7,Dublin,4000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.6020599913279625,Yes,26,4,2
16/05/2016,"F MILLIGAN COURT, CONNAUGHTON RD, SLIGO",NA,Sligo,151.06,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.179149480361149,Yes,16,5,2
14/09/2010,"The Brambles, Bahana, Enniskerry",NA,Wicklow,8000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.9030899869919438,Yes,14,9,3
29/01/2014,"4 BARROWMOUNT RD, GORESBRIDGE, KILKENNY",NA,Kilkenny,600,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.7781512503836434,Yes,29,1,1
26/02/2018,"DERRYNAGARRAGH, CASTLEPOLLARD, COUNTY WESTMEATH",NA,Westmeath,500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6989700043360187,Yes,26,2,1
06/08/2014,"33 SIDNEY PARK, WELLINGTON RD, CORK",NA,Cork,3000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4771212547196626,Yes,6,8,3
27/01/2014,"19 SHANNON LODGE, CARRICK ON SHANNON, LEITRIM",NA,Leitrim,2100,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.322219294733919,Yes,27,1,1
04/07/2016,"6 THE CLOISTERS, GRACE PARK RD, DRUMCONDRA DUBLIN 9",Dublin 9,Dublin,6550,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.816241299991783,Yes,4,7,3
11/12/2015,"40 SARSFIELD TERRACE, OFF RICHMOND HILL, CORK",NA,Cork,750,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.8750612633917,Yes,11,12,4
01/07/2010,"25 CENTURY COURT, UPPER GEORGES STREET, DUN LAOGHAIRE",NA,Dublin,1350,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.130333768495006,No,1,7,3
24/09/2012,"7 Cois Falla, Fethard",NA,Tipperary,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,24,9,3
13/06/2016,"30 CIRCULAR ROAD, KILKENNY",NA,Kilkenny,2450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3891660843645326,No,13,6,2
18/09/2014,"APT 1  BLOCK 1, THE HERITAGE, KILLENARD",NA,Laois,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,18,9,3
23/08/2010,"1 Ridgewood Green, Swords",NA,Dublin,3743,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.5732198271144218,Yes,23,8,3
22/06/2015,"4 Coachyard Avenue, Enfield",NA,Meath,2378.8546,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.3763678979652014,Yes,22,6,2
22/09/2014,"40 KNOCKBRACK DOWNS, DROGHEDA, LOUTH",NA,Louth,860,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.934498451243568,Yes,22,9,3
21/09/2016,"BALLYHAMLET, TALLOW, WATERFORD",NA,Waterford,900,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.9542425094393248,Yes,21,9,3
01/05/2015,"MOY HAVEN, CLOONGULAN, SWINFORD",NA,Mayo,1500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.1760912590556813,Yes,1,5,2
22/12/2015,"28 The Avenue, Cahereen Heights, Castleisland",NA,Kerry,850,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,2.929418925714293,Yes,22,12,4
07/10/2011,"Annaglave, Castleblayney",NA,Monaghan,200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.3010299956639813,Yes,7,10,4
02/02/2016,"41 RADHARC NA HABHAINN, COOLANEY, SLIGO",NA,Sligo,250,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.3979400086720375,Yes,2,2,1
28/08/2013,"3 Beechwood Park, Kilcoole",NA,Wicklow,1650,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2174839442139063,Yes,28,8,3
18/11/2016,"1 BAYSIDE BOULEVARD SOUTH, SUTTON, DUBLIN 13",Dublin 13,Dublin,3150,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4983105537896004,Yes,18,11,4
